Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
218701,-0.266,0.0189,0.0278,-0.2119,0.8896,0.040924197,0.024708115,0.537119266,0.137633653,-0.07746706
218801,-0.2648,0.0498,0.0136,-0.2047,1.4414,0.078035427,0.01961345,0.362279335,0.223080264,0.030343554
218901,-0.2785,0.0265,0.0216,-0.2301,0.3179,0.028638922,0.00687289,0.07628872,0.16264715,-0.205406235
219001,-0.221,0.0108,0.0227,-0.1939,0.4746,0.015912193,0.010768884,0.32121646,0.103927545,-0.128979689
219101,-0.2469,0.073,0.0216,-0.2515,1.2058,0.104467668,0.026081558,0.301034624,0.270220803,0.056376905
219201,-0.3269,0.00477,0.0238,-0.2415,1.6734,0.071343686,0.039783377,0.933161793,0.069054211,0.077224387
219301,-0.3513,0.0683,0.02,-0.269,0.4636,0.072584348,0.009262462,0.059158956,0.261324193,-0.226550179
219401,-0.2927,0.00992,0.0155,-0.2056,0.4262,0.012733229,0.006609402,0.221216996,0.099581233,-0.205114689
219501,-0.2117,0.00762,0.0428,-0.1934,1.3053,0.080560763,0.055885381,0.905464465,0.087268865,0.040782811
219601,-0.2587,0.00104,0.0312,-0.2261,0.6191,0.012991704,0.019308465,0.920118877,0.032214777,-0.118696896
219701,-0.2533,0.00118,0.02,-0.2305,1.1307,0.026712154,0.022576261,0.955651097,0.034418814,0.00730682
219801,-0.3531,0.0188,0.0301,-0.2742,0.677,0.032593883,0.020377334,0.423231126,0.137109945,-0.16750515
219901,-0.2232,0.00915,0.0249,-0.2202,1.0261,0.035388256,0.025568198,0.741387694,0.095665241,0.002754011
220001,-0.2544,0.0105,0.0428,-0.2442,0.6137,0.026660847,0.026286533,0.60507961,0.102610488,-0.104562009
220101,-0.3275,0.00424,0.0178,-0.2636,0.619,0.011039101,0.01098768,0.616087848,0.065100268,-0.16436193
220201,-0.2947,0.00332,0.0122,-0.2747,0.6021,0.007734893,0.007330078,0.570542578,0.057635123,-0.129287109
220301,-0.2889,0.00756,0.0153,-0.2337,1.0911,0.0257609,0.016681951,0.706568498,0.086942852,-0.033839727
220401,-0.2453,0.00214,0.0159,-0.236,1.1868,0.024548373,0.018882214,0.912854855,0.046252259,0.03476965
220501,-0.2738,0.0159,0.0201,-0.2358,1.0428,0.037792416,0.020954267,0.578181512,0.126259811,-0.027902417
220601,-0.1798,0.0458,0.0232,-0.1825,1.0637,0.071985915,0.024651174,0.364259211,0.213926114,0.014305083
220701,-0.2523,0.0334,0.0245,-0.2454,0.9998,0.05788126,0.02452558,0.423658138,0.182645539,-0.006952748
220801,-0.258,0.0553,0.0191,-0.2405,1.3022,0.087681494,0.024900796,0.369803354,0.23506719,0.055235674
220901,-0.2366,0.0104,0.0509,-0.2065,0.7958,0.042618235,0.040491695,0.756131327,0.101947302,-0.072251549
221001,-0.338,0.0422,0.0265,-0.2374,1.7435,0.122724666,0.046200963,0.656365613,0.205359235,0.075996232
221101,-0.2701,0.012,0.00982,-0.2351,0.7162,0.01708228,0.00703106,0.294796931,0.109756441,-0.101735273
221201,-0.3388,0.023,0.0386,-0.239,1.0942,0.069247049,0.042229189,0.667273636,0.151790378,-0.07727873
221301,-0.3443,0.0655,0.0146,-0.2368,0.9616,0.079008509,0.014012232,0.170541659,0.255996615,-0.116612701
221401,-0.3087,0.0452,0.0144,-0.2617,1.3177,0.070155037,0.018909849,0.355171667,0.212692161,0.036075843
221501,-0.2946,0.0265,0.019,-0.2307,0.8185,0.039223825,0.01553739,0.324239662,0.162806343,-0.105802028
221601,-0.2286,0.0106,0.0154,-0.2305,1.0069,0.026240216,0.015506779,0.595014281,0.103086918,0.003436849
221701,-0.2715,0.0137,0.0161,-0.2055,0.7278,0.022195767,0.011739629,0.384956363,0.116839058,-0.12193012
221801,-0.2925,0.0305,0.0257,-0.2304,0.6269,0.040611178,0.01612669,0.248938532,0.174646761,-0.148118733
221901,-0.3163,0.0205,0.0222,-0.2626,1.0507,0.044979762,0.023279738,0.543781327,0.143250157,-0.040399282
222001,-0.3412,0.0221,0.0338,-0.2564,0.2135,0.023650108,0.00722392,0.065226044,0.148685926,-0.286438024
222101,-0.2573,0.0211,0.0257,-0.2731,1.1571,0.055539552,0.029791852,0.62068824,0.145144084,0.058809511
222201,-0.255,0.0229,0.0259,-0.2432,0.874,0.042744826,0.022675976,0.463675572,0.151410351,-0.042418619
222301,-0.4041,0.0363,0.0126,-0.2709,0.4445,0.038791892,0.005599123,0.064153312,0.190534153,-0.283672714
222401,-0.264,0.0142,0.0116,-0.2402,1.2636,0.032729395,0.01463267,0.564924237,0.119330493,0.039531744
222501,-0.2768,0.0453,0.0144,-0.2148,1.0578,0.061505762,0.015283251,0.262856464,0.212928567,-0.049564645
222601,-0.2797,0.0142,0.0169,-0.231,0.8931,0.027671127,0.015053717,0.485882203,0.119273713,-0.073372488
222701,-0.3189,0.018,0.0203,-0.2809,1.6517,0.073255763,0.033456797,0.754351621,0.134146037,0.144984398
222801,-0.2828,0.0112,0.0229,-0.2088,1.053,0.036611301,0.024161354,0.694939996,0.105681803,-0.062918241
222901,-0.153,0.0133,0.0259,-0.1699,1.3225,0.058554982,0.034193553,0.77226048,0.115478497,0.071669939
223001,-0.345,0.0621,0.0168,-0.2803,0.2894,0.063461603,0.004866571,0.022194986,0.249104543,-0.263913197
223101,-0.3869,0.0408,0.0241,-0.2824,0.2455,0.042217607,0.005929146,0.034485389,0.201895309,-0.317566285
223201,-0.2713,0.0207,0.0328,-0.2368,0.5606,0.03096339,0.018391401,0.332966094,0.143713712,-0.138552994
223301,-0.3226,0.037,0.0271,-0.2554,-0.1928,0.038026318,-0.005234686,0.026541893,0.192398096,-0.371810752
223401,-0.3229,0.00412,0.0168,-0.2471,0.9777,0.020148779,0.016396903,0.795639568,0.064168631,-0.081317028
223501,-0.2672,0.0205,0.0247,-0.2756,0.9628,0.043359544,0.023775779,0.527948975,0.143066129,-0.001911036
223601,-0.3491,0.0088,0.0177,-0.3026,0.7013,0.017525449,0.012438747,0.49774812,0.093819986,-0.136879137
223701,-0.2671,0.0242,0.0245,-0.2189,0.8908,0.043659948,0.021825399,0.445288812,0.155623461,-0.07212771
223801,-0.2485,0.0333,0.0239,-0.2184,1.4437,0.083119121,0.034528732,0.599751417,0.182396026,0.066812556
223901,-0.168,0.0221,0.0407,-0.2165,1.1349,0.074616613,0.046234227,0.703211382,0.148813176,0.077732459
224001,-0.2646,0.049,0.0345,-0.2021,0.6374,0.062956525,0.021960908,0.222331559,0.221267492,-0.135720032
224101,-0.2874,0.0221,0.0243,-0.2286,0.8412,0.039258441,0.020438858,0.437960945,0.148542173,-0.095107568
224201,-0.2869,0.0335,0.027,-0.2567,0.4626,0.039294066,0.012507352,0.147249846,0.183051961,-0.168123494
224301,-0.3691,0.0168,0.0558,-0.3099,0.6903,0.043352401,0.038534477,0.613593907,0.129428096,-0.155183666
224401,-0.3271,0.00435,0.0216,-0.238,0.6765,0.014258068,0.014640917,0.694641347,0.065983517,-0.166082209
224501,-0.1795,0.00721,0.0198,-0.2018,1.1354,0.032778346,0.022517184,0.779962265,0.08492628,0.049657241
224601,-0.3707,0.0276,0.0366,-0.2717,1.2612,0.085792392,0.046147031,0.678385384,0.166108661,-0.027970633
224701,-0.3054,0.0238,0.0274,-0.2635,0.6447,0.035212545,0.017632487,0.322823302,0.154418636,-0.135549321
224801,-0.2137,0.0461,0.0306,-0.227,0.8138,0.066354985,0.024883398,0.305161353,0.214723096,-0.029000705
224901,-0.3245,0.0558,0.0205,-0.2391,1.1542,0.083095,0.023667988,0.328750816,0.236172502,-0.048584139
225001,-0.2884,0.0142,0.0324,-0.2319,0.542,0.023675099,0.017569037,0.402227757,0.118963511,-0.162709755
225101,-0.2955,0.0365,0.026,-0.2593,0.0618,0.036577815,0.001607779,0.002717713,0.190993211,-0.279435365
225201,-0.3467,0.00315,0.0212,-0.252,0.5757,0.010192151,0.012224463,0.690454555,0.0561688,-0.201602249
225301,-0.3861,0.0447,0.0117,-0.274,0.4808,0.047431761,0.005644926,0.057222533,0.211465353,-0.254327962
225401,-0.3716,0.0187,0.0198,-0.2348,1.0656,0.041161436,0.021083953,0.545837447,0.136725941,-0.121328524
225501,-0.3168,0.0139,0.0185,-0.2588,1.062,0.034758668,0.019596401,0.598711115,0.118102782,-0.042003136
225601,-0.3516,0.0298,0.0213,-0.2365,0.3663,0.03264516,0.00779995,0.087524795,0.172591712,-0.264966543
225701,-0.365,0.0385,0.024,-0.2313,0.7517,0.052108833,0.018054994,0.260439624,0.196310031,-0.191137186
225801,-0.2505,0.00982,0.0543,-0.2042,0.6954,0.036059904,0.037736684,0.727690553,0.09909315,-0.108514497
225901,-0.3703,0.0184,0.0191,-0.2529,0.4524,0.022312211,0.008632806,0.175035582,0.135671588,-0.255860102
226001,-0.26,0.0226,0.0148,-0.2494,-0.0206,0.022632851,-0.000303604,0.000275689,0.150421444,-0.265155127
226101,-0.2625,0.0383,0.0332,-0.1969,0.6904,0.054067385,0.022893095,0.292309946,0.195609178,-0.126488997
226201,-0.2941,0.0144,0.0147,-0.247,1.2008,0.035591254,0.017619524,0.594457321,0.120140636,0.002498361
226301,-0.419,0.0436,0.0257,-0.2663,0.9584,0.067189002,0.024621589,0.351224188,0.208783618,-0.163701868
226401,-0.345,0.0446,0.0267,-0.2792,0.7861,0.061034844,0.020951189,0.269827352,0.211106546,-0.12549341
226501,-0.2913,0.0546,0.0181,-0.2673,0.0488,0.054611351,0.000884822,0.000791243,0.233598246,-0.278259683
226601,-0.2138,0.00816,0.0235,-0.2074,0.9163,0.027932943,0.021574988,0.707735839,0.090353739,-0.02374098
226701,-0.3158,0.00695,0.0242,-0.2045,0.4109,0.011035168,0.009933133,0.369886549,0.083387096,-0.231712871
226801,-0.3228,0.0233,0.0396,-0.2863,1.3384,0.094116595,0.05294456,0.752923322,0.152492674,0.060345442
226901,-0.3871,0.0572,0.0349,-0.2545,0.9407,0.088129849,0.032839692,0.35052396,0.239245116,-0.147743669
227001,-0.3881,0.0457,0.0188,-0.22,1.219,0.073678651,0.022915596,0.379123842,0.213881551,-0.119875532
227101,-0.2729,0.024,0.0175,-0.1945,1.2049,0.049370963,0.021045742,0.51362831,0.15496012,-0.038533662
227201,-0.2158,0.00206,0.031,-0.2346,1.0789,0.038118301,0.033419818,0.945950403,0.045390294,0.037317949
227301,-0.2128,0.00446,0.0363,-0.2746,0.4917,0.013243971,0.017855534,0.662921802,0.066815072,-0.077750251
227401,-0.2997,0.0183,0.0245,-0.256,0.5937,0.026937839,0.014547935,0.32061404,0.13528189,-0.147692055
227501,-0.2598,0.0265,0.02,-0.2513,1.221,0.056350939,0.024415221,0.529024314,0.16291078,0.047105797
227601,-0.2354,0.0199,0.019,-0.2604,1.4487,0.059874388,0.027584875,0.667432882,0.141110781,0.141862513
227701,-0.2705,0.0134,0.0646,-0.2126,0.8841,0.063951657,0.057132379,0.789817926,0.115937449,-0.082590453
227801,-0.3346,0.0271,0.0307,-0.262,1.0848,0.063223575,0.033290551,0.5711874,0.164654382,-0.050325695
227901,-0.2995,0.0498,0.0206,-0.2222,0.3446,0.052285007,0.00709366,0.046755865,0.223249582,-0.222972785
228001,-0.3112,0.0268,0.0242,-0.2475,1.6209,0.090284396,0.03916431,0.703120355,0.163718049,0.089842801
228101,-0.2647,0.0115,0.0337,-0.2189,0.9495,0.041960436,0.032042763,0.725048903,0.107410744,-0.056807714
228201,-0.2426,0.00896,0.0146,-0.2147,0.5599,0.013539711,0.008177439,0.338186543,0.094661306,-0.122358283
228301,-0.3412,0.0174,0.0227,-0.2611,0.2174,0.018431487,0.004930667,0.058146047,0.131756475,-0.284482902
228401,-0.4053,0.00934,0.0394,-0.2903,0.7858,0.033689052,0.030987945,0.722754057,0.096644466,-0.177194347
228501,-0.3112,0.0213,0.0286,-0.2301,0.2908,0.023719464,0.00831693,0.101957961,0.14594888,-0.244264465
228601,-0.3718,0.0134,0.0382,-0.3238,1.3168,0.079654221,0.050351116,0.832397423,0.115543294,0.054552271
228701,-0.2315,0.00671,0.0142,-0.2271,0.74,0.014510039,0.010534871,0.537253791,0.081941843,-0.063411682
228801,-0.2803,0.0157,0.0156,-0.2049,0.4645,0.019079387,0.007225342,0.175892286,0.125393263,-0.185099421
228901,-0.191,0.1319,0.02,-0.2297,-0.2071,0.132717471,-0.00414296,0.006464675,0.363124628,-0.238575101
229001,-0.319,0.0645,0.0309,-0.3001,-0.2076,0.06585775,-0.006404098,0.020186002,0.254024301,-0.381268845
229101,-0.2764,0.0709,0.0207,-0.2133,0.9806,0.090849787,0.020345553,0.219607797,0.266267657,-0.067229581
229201,-0.285,0.0178,0.0197,-0.2015,1.0643,0.040171245,0.02101325,0.556740452,0.133440204,-0.070572081
229301,-0.3001,0.0104,0.0115,-0.2361,1.1703,0.026172664,0.013508304,0.603993644,0.101806391,-0.023871237
229401,-0.2821,0.0198,0.0266,-0.2223,0.6557,0.031255264,0.017469819,0.366486499,0.140714717,-0.136267567
229501,-0.2609,0.0175,0.0156,-0.2617,1.1809,0.039267456,0.018394786,0.553180126,0.132459352,0.04802974
229601,-0.2536,0.0202,0.0419,-0.2544,0.9182,0.055553046,0.038482078,0.636032377,0.142195324,-0.020014406
229701,-0.3423,0.0177,0.0181,-0.2421,0.5886,0.024013057,0.010664027,0.261388728,0.133177755,-0.199815066
229801,-0.2466,0.0477,0.0294,-0.2575,0.3705,0.051752094,0.010886724,0.077936456,0.218446148,-0.151170901
229901,-0.3554,0.0357,0.0198,-0.2587,1.0417,0.05720785,0.020655712,0.376127052,0.18891911,-0.085933113
230001,-0.2864,0.0188,0.0318,-0.2414,0.6273,0.031261049,0.019920908,0.399711477,0.136987768,-0.134967933
230101,-0.2613,0.00303,0.0251,-0.243,0.5868,0.011681164,0.014736397,0.740255203,0.055082861,-0.118761326
230201,-0.3198,0.048,0.0235,-0.2812,0.8851,0.066473983,0.020839498,0.27749243,0.219152813,-0.070967178
230301,-0.2482,0.0351,0.0299,-0.2251,0.714,0.050284114,0.02132707,0.302834929,0.187233351,-0.087507019
230401,-0.3225,0.0725,0.0225,-0.254,0.6589,0.082246268,0.014821768,0.118744402,0.26922107,-0.155139985
230501,-0.291,0.0118,0.02,-0.2857,0.5113,0.017029089,0.010216474,0.306761262,0.10865185,-0.144936501
230601,-0.2351,0.0187,0.0378,-0.2027,0.9899,0.055778123,0.037440086,0.664451716,0.136807359,-0.034419911
230701,-0.2758,0.0455,0.0242,-0.2366,1.1855,0.079480117,0.028640436,0.427194755,0.213369697,0.004727033
230801,-0.1867,0.0154,0.0207,-0.2114,0.2962,0.017253893,0.00614608,0.105512444,0.124231208,-0.12410078
230901,-0.2497,0.0348,0.0302,-0.2542,0.5744,0.044729502,0.017336541,0.222611789,0.186473021,-0.103726508
231001,-0.241,0.0592,0.0182,-0.212,0.3583,0.061557014,0.006524752,0.0379772,0.243350058,-0.16501214
231101,-0.3175,0.0172,0.0188,-0.2363,0.8481,0.03077226,0.015945634,0.439483035,0.131333064,-0.117076728
231201,-0.3396,0.0304,0.0204,-0.2603,1.8062,0.096904859,0.036829204,0.686468906,0.174306301,0.130643437
231301,-0.2959,0.0116,0.0223,-0.2543,1.3533,0.052564997,0.030244546,0.778660557,0.1078643,0.048231237
231401,-0.2558,0.018,0.0209,-0.2315,1.3044,0.05363521,0.027300492,0.663966839,0.134250546,0.046173987
231501,-0.3411,0.0106,0.0247,-0.2571,0.5349,0.017627451,0.013201979,0.400589959,0.102791395,-0.203533618
231601,-0.2292,0.0408,0.00922,-0.2217,1.4376,0.059910003,0.013260429,0.318195163,0.202106235,0.089507464
231701,-0.2499,0.0416,0.0263,-0.167,0.9567,0.065666229,0.025126016,0.366056338,0.204031099,-0.090149462
231801,-0.2532,0.0141,0.026,-0.203,0.7354,0.028164441,0.019156599,0.500198606,0.118644961,-0.103955297
231901,-0.2242,0.043,0.018,-0.2215,1.9333,0.110479364,0.034880471,0.610381631,0.207472382,0.204081839
232001,-0.3193,0.00496,0.026,-0.2408,0.5193,0.011957066,0.01347587,0.58522051,0.070424043,-0.194277401
232101,-0.2802,0.00716,0.0208,-0.2395,0.9193,0.024753271,0.019137919,0.710772937,0.08461274,-0.060074825
232201,-0.2002,0.0244,0.0172,-0.2191,0.4277,0.027588568,0.00737005,0.114252821,0.156321772,-0.106466054
232301,-0.2838,0.0345,0.0322,-0.2681,0.311,0.037573244,0.010006101,0.082814037,0.185638499,-0.200388999
232401,-0.2699,0.0258,0.0137,-0.2567,1.7203,0.0661922,0.023495839,0.610630118,0.16054049,0.171764484
232501,-0.4173,0.0323,0.0105,-0.2858,1.3832,0.052432224,0.014568118,0.384327521,0.179669356,-0.022002975
232601,-0.3999,0.0608,0.021,-0.2843,1.1157,0.08699837,0.023462841,0.300896726,0.246618826,-0.082662803
232701,-0.2806,0.0504,0.0105,-0.2136,1.1464,0.064232027,0.012030388,0.214716182,0.224589339,-0.035778376
232801,-0.3204,0.0723,0.0192,-0.2451,0.8908,0.087596442,0.017123011,0.174139373,0.268965524,-0.102053263
232901,-0.225,0.0318,0.0208,-0.291,1.0957,0.056713894,0.022774318,0.439975533,0.178216633,0.093778771
233001,-0.4138,0.0138,0.0204,-0.2734,0.7675,0.025834111,0.015631949,0.464385356,0.117631323,-0.203941079
233101,-0.3529,0.0488,0.026,-0.284,1.3258,0.094418521,0.034409216,0.483168218,0.220903808,0.023668736
233201,-0.3137,0.0125,0.017,-0.264,1.2279,0.038211955,0.020911174,0.671955028,0.111960884,0.010492358
233301,-0.3046,0.0137,0.0224,-0.2637,0.6032,0.021851277,0.013506646,0.372821392,0.117066876,-0.145515897
233401,-0.4369,0.0827,0.0213,-0.2694,0.6315,0.091175104,0.013436271,0.093066704,0.287558234,-0.266807442
233501,-0.3734,0.0363,0.0288,-0.2996,1.3024,0.085115939,0.037453536,0.573092652,0.190621667,0.016812111
233601,-0.2057,0.00337,0.0114,-0.1951,0.4794,0.005999403,0.005487574,0.438479903,0.058041237,-0.112140789
233701,-0.277,0.0116,0.0138,-0.2438,0.504,0.015099945,0.006978541,0.23294483,0.10762198,-0.154123059
233801,-0.2605,0.00885,0.0188,-0.2525,0.5298,0.01412186,0.009944676,0.373086187,0.094091386,-0.126729345
233901,-0.2692,0.0101,0.0282,-0.2177,0.8617,0.031036853,0.024319394,0.675177218,0.100406558,-0.081670256
234001,-0.1916,0.0209,0.0183,-0.2295,0.8827,0.035132753,0.016160036,0.405998441,0.144460757,0.011008698
234101,-0.3357,0.0266,0.0129,-0.2816,0.4247,0.028950463,0.005476252,0.080339954,0.163170415,-0.216090174
234201,-0.2676,0.0181,0.0155,-0.2107,0.2741,0.019262211,0.004242051,0.060357649,0.134534712,-0.209826494
234301,-0.1095,0.0183,0.0183,-0.21,1.7758,0.076177666,0.032568535,0.75919347,0.135440317,0.263448167
234401,-0.3112,0.0474,0.0208,-0.2187,1.7156,0.108707603,0.035751346,0.564229474,0.217650108,0.063991423
234501,-0.182,0.0149,0.0494,-0.1827,0.7615,0.04358185,0.037624843,0.657429634,0.122187767,-0.042863763
234601,-0.2345,0.0248,0.0216,-0.1753,0.6464,0.033842526,0.013985883,0.267117409,0.157488405,-0.12121947
234701,-0.3111,0.0178,0.0142,-0.2679,0.8825,0.028841861,0.012533674,0.383482621,0.133347323,-0.074704109
234801,-0.2741,0.00441,0.0273,-0.2967,0.5354,0.01224478,0.014631312,0.639703246,0.06642104,-0.115235869
234901,-0.2447,0.00483,0.0343,-0.2888,0.9088,0.033175562,0.031190201,0.854415453,0.069497116,0.017770255
235001,-0.3053,0.0006,0.0195,-0.2493,0.801,0.013117856,0.015628773,0.954291564,0.024486664,-0.105602393
235101,-0.3141,0.000435,0.023,-0.2752,1.0385,0.025247563,0.023891431,0.982759025,0.020863667,-0.028358178
235201,-0.2924,0.000946,0.0322,-0.2984,1.0398,0.035808061,0.033528304,0.973580795,0.030757447,0.017900743
235301,-0.3032,0.000403,0.0139,-0.2638,0.6326,0.005965901,0.00879345,0.932492398,0.020068474,-0.136297977
235401,-0.3252,0.000804,0.0321,-0.2879,0.3692,0.005179485,0.011851548,0.844692655,0.028362158,-0.218916981
235501,-0.298,0.00284,0.0291,-0.2562,1.1451,0.041050296,0.033369283,0.930870645,0.053270822,-0.004540355
235601,-0.2873,0.00228,0.0158,-0.2621,0.3226,0.003929534,0.00510828,0.419382417,0.047765643,-0.202749097
235701,-0.2996,0.0164,0.032,-0.2703,1.3975,0.078860917,0.04467874,0.791773302,0.128144248,0.07804392
235801,-0.4213,0.0447,0.0208,-0.3046,0.9302,0.06274125,0.019387885,0.287438041,0.211440365,-0.138023319
235901,-0.2641,0.0983,0.016,-0.2323,1.4561,0.132243185,0.023298993,0.256539099,0.313556434,0.074206746
236001,-0.2855,0.00761,0.0227,-0.2331,0.6491,0.017173003,0.01473563,0.557001054,0.087221684,-0.134187771
236101,-0.2304,0.00154,0.0166,-0.2521,1.334,0.031106339,0.022164347,0.950541985,0.039223179,0.105922985
236201,-0.2705,0.00204,0.0208,-0.2885,0.8132,0.015774276,0.016887417,0.870556332,0.045187167,-0.035826217
236301,-0.1985,0.0031,0.0259,-0.2214,1.0142,0.029712806,0.026236085,0.895570118,0.055703724,0.026013988
236401,-0.2009,0.00102,0.0259,-0.2316,0.5627,0.009211702,0.014566061,0.889697191,0.031875956,-0.070610159
236501,-0.1919,0.000433,0.0347,-0.2116,0.6586,0.015463577,0.022824242,0.972020013,0.020800738,-0.052481267
236601,-0.1892,0.000715,0.0148,-0.2377,1.3398,0.027240079,0.019797296,0.973758787,0.026735982,0.129337616
236701,-0.191,0.000581,0.0134,-0.2374,0.834,0.009932915,0.011213227,0.941469726,0.024111744,0.006991899
236801,-0.2039,0.000948,0.0135,-0.2232,0.5657,0.00526869,0.007637556,0.820002711,0.030795291,-0.077649961
236901,-0.2525,0.00181,0.0276,-0.2137,1.1882,0.040707357,0.032739184,0.955610108,0.042508766,0.001392802
237001,-0.2804,0.00101,0.0242,-0.2488,0.452,0.005947276,0.010931358,0.830768966,0.031724812,-0.167959631
237101,-0.3085,0.00241,0.0205,-0.2414,1.1636,0.030136393,0.023830325,0.920089175,0.049073659,-0.027631868
237201,-0.2746,0.00677,0.0376,-0.2323,0.8719,0.035330617,0.032760912,0.808481102,0.082258622,-0.072060188
237301,-0.306,0.0268,0.0186,-0.2867,0.2316,0.027831807,0.004316249,0.035910174,0.163805866,-0.23963584
237401,-0.2455,0.0103,0.0193,-0.2687,0.0976,0.010512509,0.001882855,0.017473716,0.101630784,-0.21931912
237501,-0.3068,0.0468,0.0137,-0.283,1.3114,0.070303492,0.017916184,0.334198021,0.216352038,0.064305386
237601,-0.2923,0.0243,0.049,-0.2531,0.8383,0.058714171,0.041095324,0.586775853,0.155763004,-0.080122069
237701,-0.2871,0.0496,0.0222,-0.2433,0.2329,0.050818789,0.005178003,0.023726646,0.222739824,-0.230454696
237801,-0.2794,0.0134,0.0167,-0.2361,0.4843,0.017331183,0.008072554,0.225565142,0.115852803,-0.165066114
237901,-0.2877,0.0238,0.0448,-0.2451,0.5178,0.035769287,0.023178288,0.335516416,0.154169076,-0.160854807
238001,-0.2999,0.0157,0.0185,-0.2908,0.9877,0.033709576,0.018255155,0.534866008,0.125217689,-0.012629147
238101,-0.292,0.0336,0.0131,-0.2304,1.9601,0.084094017,0.025747389,0.600129256,0.183375945,0.159640737
238201,-0.3349,0.0315,0.0188,-0.2941,0.2679,0.032889529,0.005032971,0.041003417,0.177597708,-0.256096837
238301,-0.2056,0.0256,0.0287,-0.2632,0.8625,0.046938394,0.024716251,0.454150387,0.160066562,0.021404381
238401,-0.3582,0.0443,0.029,-0.2596,1.0078,0.073683376,0.029178482,0.399087898,0.210421559,-0.096637241
238501,-0.2949,0.015,0.0148,-0.2156,1.1044,0.033118988,0.016393405,0.546680152,0.122529566,-0.056762673
238601,-0.2406,0.015,0.0169,-0.2563,0.7158,0.023702589,0.012094011,0.36524981,0.12265897,-0.057160031
238701,-0.3858,0.0309,0.0221,-0.2609,0.9849,0.052320679,0.021781643,0.410007004,0.175695288,-0.128835582
238801,-0.2579,0.0236,0.0155,-0.2112,0.9749,0.03827626,0.015071476,0.383854611,0.153569987,-0.052023968
238901,-0.1646,0.00274,0.0215,-0.1863,0.7854,0.015998039,0.016885676,0.829010948,0.052301908,-0.018245602
239001,-0.2005,0.00617,0.0261,-0.2199,1.3073,0.050731722,0.034086359,0.87837612,0.07855055,0.086913108
239101,-0.3956,0.0246,0.0282,-0.2457,1.0705,0.056880191,0.030162773,0.567664979,0.15681613,-0.132588578
239201,-0.359,0.0211,0.0215,-0.2412,1.1783,0.050975415,0.025354267,0.586078045,0.145257851,-0.07478944
239301,-0.3465,0.0315,0.0308,-0.2997,0.9259,0.057826916,0.028487041,0.456124238,0.177343334,-0.069063913
239401,-0.2863,0.0235,0.0202,-0.3142,0.5492,0.029564524,0.011078137,0.205808093,0.153231542,-0.113741112
239501,-0.3231,0.0629,0.0243,-0.2644,1.0623,0.090384395,0.025865335,0.304005351,0.250812789,-0.04225107
239601,-0.3527,0.073,0.0147,-0.275,0.4094,0.075516809,0.006037885,0.032730462,0.270268586,-0.240070249
239701,-0.2699,0.00942,0.0135,-0.2493,0.6672,0.015407513,0.008979336,0.388816191,0.097040314,-0.103566126
239801,-0.3668,0.0196,0.0549,-0.2823,0.268,0.02356727,0.014714289,0.167357128,0.140082545,-0.291156731
239901,-0.2818,0.00422,0.021,-0.2396,1.2578,0.037481872,0.026441699,0.887288693,0.06499716,0.019563817
240001,-0.2422,0.00976,0.0139,-0.1973,0.3053,0.011054608,0.004245831,0.117265556,0.098784022,-0.181948506
240101,-0.3215,0.0284,0.0207,-0.2852,0.3411,0.030817414,0.007069263,0.07824024,0.168541543,-0.224229031
240201,-0.3029,0.0349,0.0189,-0.2474,0.7098,0.044448985,0.013428057,0.214416672,0.186864607,-0.127301061
240301,-0.274,0.0383,0.0278,-0.2136,1.3683,0.090236095,0.037983484,0.57596234,0.195610589,0.018357549
240401,-0.2821,0.00957,0.0162,-0.239,0.5818,0.015036236,0.009399761,0.363690414,0.097814626,-0.143052368
240501,-0.2905,0.0257,0.0207,-0.2599,1.4202,0.06749387,0.029446918,0.619638965,0.160224962,0.078629356
240601,-0.4206,0.0838,0.0277,-0.2568,0.3701,0.087581834,0.010241637,0.043275562,0.289467928,-0.325522896
240701,-0.3045,0.0115,0.0142,-0.2465,1.0959,0.028533935,0.015529698,0.596427782,0.107310314,-0.034380285
240801,-0.2453,0.0228,0.0231,-0.2113,0.421,0.026914476,0.009735884,0.152292151,0.151048379,-0.156304249
240901,-0.275,0.0305,0.0291,-0.2363,0.7178,0.045479295,0.020866696,0.329339866,0.174645784,-0.105400273
241001,-0.318,0.00621,0.0195,-0.258,1.1509,0.032074937,0.022475349,0.80646488,0.078788494,-0.021070623
241101,-0.3833,0.0292,0.0486,-0.29,1.0194,0.079646545,0.049524921,0.633896229,0.170759775,-0.087689153
241201,-0.2708,0.0179,0.0201,-0.2296,0.4196,0.021391482,0.008426592,0.165283627,0.133625673,-0.174474103
241301,-0.3456,0.0332,0.025,-0.2673,0.998,0.05807021,0.024961339,0.429002159,0.182093285,-0.078884376
241401,-0.3379,0.016,0.0187,-0.2779,0.7862,0.027586875,0.014717499,0.419441028,0.126553576,-0.119408265
241501,-0.2614,0.0201,0.0391,-0.2382,1.3004,0.08619559,0.050795921,0.766341828,0.141916539,0.048297358
241601,-0.3573,0.00479,0.0277,-0.3074,1.0899,0.037730476,0.030222587,0.872985485,0.069226571,-0.022282084
241701,-0.3268,0.0147,0.0217,-0.2597,0.7266,0.026140435,0.015784773,0.438762012,0.121123925,-0.138065309
