Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
50101,-0.2722,0.00901,0.0116,-0.2655,0.9738,0.019985602,0.011274503,0.549371279,0.094900401,-0.013651951
50201,-0.2663,0.0277,0.0212,-0.2144,1.4448,0.071880366,0.030591764,0.614887304,0.16637921,0.043415354
50301,-0.2342,0.0274,0.0161,-0.2679,0.9772,0.042761413,0.015697857,0.358746919,0.165592535,0.027562556
50401,-0.2386,0.00756,0.0203,-0.2025,1.1256,0.033260792,0.02283602,0.77278734,0.086932577,-0.010655983
50501,-0.1624,0.0179,0.0234,-0.241,0.766,0.031598835,0.017925625,0.434566662,0.133667628,0.022234299
50601,-0.291,0.0198,0.0203,-0.226,1.2434,0.051205996,0.025288487,0.61408255,0.140574847,-0.009978002
50701,-0.3258,0.0273,0.0219,-0.2582,1.127,0.055094402,0.024687978,0.505003542,0.165140952,-0.034806382
50801,-0.3788,0.00714,0.028,-0.3201,0.739,0.022422934,0.020687233,0.681772872,0.084472398,-0.14232648
50901,-0.3069,0.0107,0.0252,-0.2456,1.1735,0.045348416,0.02956178,0.765012863,0.10322933,-0.0187219
51001,-0.2773,0.0229,0.0285,-0.2249,1.0854,0.056506111,0.030926677,0.594049692,0.151455185,-0.033189118
51101,-0.3249,0.0964,0.0165,-0.2652,0.4558,0.099849772,0.007503918,0.034257236,0.310530505,-0.204030048
51201,-0.2566,0.00898,0.016,-0.2725,1.0783,0.02756457,0.017237642,0.674299531,0.094751218,0.037208409
51301,-0.2044,0.00584,0.0213,-0.2172,0.8558,0.021469387,0.018265362,0.728064968,0.076408628,-0.018568669
51401,-0.3394,0.0197,0.015,-0.2303,0.639,0.025813031,0.009578124,0.237109744,0.140330004,-0.192289991
51501,-0.2207,0.01,0.0146,-0.2328,0.8353,0.020245962,0.012235344,0.504800999,0.100128818,-0.026306698
51601,-0.2891,0.0465,0.0316,-0.2103,1.0295,0.079998829,0.032521751,0.418524663,0.215678802,-0.072640325
51701,-0.331,0.00814,0.0199,-0.2445,0.3927,0.011210758,0.00783077,0.27427208,0.090199555,-0.234998483
51801,-0.2977,0.0236,0.048,-0.1664,0.4752,0.034392189,0.022794515,0.314929647,0.153496154,-0.218637906
51901,-0.3345,0.0331,0.0164,-0.2381,0.5037,0.037262688,0.008259667,0.111655777,0.181939807,-0.214541205
52001,-0.3492,0.0494,0.0215,-0.2537,1.0017,0.070993728,0.021579688,0.304473987,0.222211576,-0.095114678
52101,-0.2744,0.00244,0.013,-0.272,0.7666,0.010107801,0.009997238,0.758252997,0.049432081,-0.065858432
52201,-0.2773,0.000419,0.0226,-0.2567,1.16,0.030828747,0.026214713,0.986422795,0.02045894,0.020467024
